route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
37,1,"37","Islington",,700,,ED1C24,FFFFFF
38,1,"38","Highland Creek",,700,,ED1C24,FFFFFF
384,1,"384","Sheppard West",,700,,0054A6,FFFFFF
385,1,"385","Sheppard East",,700,,0054A6,FFFFFF
386,1,"386","Scarborough",,700,,0054A6,FFFFFF
39,1,"39","Finch East",,700,,ED1C24,FFFFFF
395,1,"395","York Mills",,700,,0054A6,FFFFFF
396,1,"396","Wilson",,700,,0054A6,FFFFFF
40,1,"40","Junction-Dundas West",,700,,ED1C24,FFFFFF
41,1,"41","Keele",,700,,ED1C24,FFFFFF
42,1,"42","Cummer",,700,,ED1C24,FFFFFF
43,1,"43","Kennedy",,700,,ED1C24,FFFFFF
44,1,"44","Kipling South",,700,,ED1C24,FFFFFF
45,1,"45","Kipling",,700,,ED1C24,FFFFFF
46,1,"46","Martin Grove",,700,,ED1C24,FFFFFF
47,1,"47","Lansdowne",,700,,ED1C24,FFFFFF
48,1,"48","Rathburn",,700,,ED1C24,FFFFFF
49,1,"49","Bloor West",,700,,ED1C24,FFFFFF
50,1,"50","Burnhamthorpe",,700,,ED1C24,FFFFFF
501,1,"501","Queen",,900,,ED1C24,FFFFFF
503,1,"503","Kingston Rd",,900,,ED1C24,FFFFFF
504,1,"504","King",,900,,ED1C24,FFFFFF
505,1,"505","Dundas",,900,,ED1C24,FFFFFF
506,1,"506","Carlton",,900,,ED1C24,FFFFFF
507,1,"507","Long Branch",,900,,ED1C24,FFFFFF
508,1,"508","Lake Shore",,900,,ED1C24,FFFFFF
509,1,"509","Harbourfront",,900,,ED1C24,FFFFFF
51,1,"51","Leslie",,700,,ED1C24,FFFFFF
510,1,"510","Spadina",,900,,ED1C24,FFFFFF
511,1,"511","Bathurst",,900,,ED1C24,FFFFFF
512,1,"512","St Clair",,900,,ED1C24,FFFFFF
52,1,"52","Lawrence West",,700,,ED1C24,FFFFFF
53,1,"53","Steeles East",,700,,ED1C24,FFFFFF
54,1,"54","Lawrence East",,700,,ED1C24,FFFFFF
55,1,"55","Warren Park",,700,,ED1C24,FFFFFF
56,1,"56","Leaside",,700,,ED1C24,FFFFFF
57,1,"57","Midland",,700,,ED1C24,FFFFFF
59,1,"59","Maple Leaf",,700,,ED1C24,FFFFFF
60,1,"60","Steeles West",,700,,ED1C24,FFFFFF
61,1,"61","Avenue Rd North",,700,,ED1C24,FFFFFF
62,1,"62","Mortimer",,700,,ED1C24,FFFFFF
63,1,"63","Ossington",,700,,ED1C24,FFFFFF
64,1,"64","Main",,700,,ED1C24,FFFFFF
65,1,"65","Parliament",,700,,ED1C24,FFFFFF
66,1,"66","Prince Edward",,700,,ED1C24,FFFFFF
67,1,"67","Pharmacy",,700,,ED1C24,FFFFFF
68,1,"68","Warden",,700,,ED1C24,FFFFFF
69,1,"69","Warden South",,700,,ED1C24,FFFFFF
7,1,"7","Bathurst",,700,,ED1C24,FFFFFF
70,1,"70","O'Connor",,700,,ED1C24,FFFFFF
71,1,"71","Runnymede",,700,,ED1C24,FFFFFF
72,1,"72","Pape",,700,,ED1C24,FFFFFF
73,1,"73","Royal York",,700,,ED1C24,FFFFFF
74,1,"74","Mount Pleasant",,700,,ED1C24,FFFFFF
75,1,"75","Sherbourne",,700,,ED1C24,FFFFFF
76,1,"76","Royal York South",,700,,ED1C24,FFFFFF
77,1,"77","Swansea",,700,,ED1C24,FFFFFF
78,1,"78","St Andrews",,700,,ED1C24,FFFFFF
79,1,"79","Scarlett Rd",,700,,ED1C24,FFFFFF
8,1,"8","Broadview",,700,,ED1C24,FFFFFF
80,1,"80","Queensway",,700,,ED1C24,FFFFFF
82,1,"82","Rosedale",,700,,ED1C24,FFFFFF
83,1,"83","Jones",,700,,ED1C24,FFFFFF
84,1,"84","Sheppard West",,700,,ED1C24,FFFFFF
85,1,"85","Sheppard East",,700,,ED1C24,FFFFFF
86,1,"86","Scarborough",,700,,ED1C24,FFFFFF
87,1,"87","Cosburn",,700,,ED1C24,FFFFFF
88,1,"88","South Leaside",,700,,ED1C24,FFFFFF
882,1,"882","Operator Shuttles",,900,,808000,FFFFFF
89,1,"89","Weston",,700,,ED1C24,FFFFFF
9,1,"9","Bellamy",,700,,ED1C24,FFFFFF
90,1,"90","Vaughan",,700,,ED1C24,FFFFFF
900,1,"900","Airport Express",,700,,00A651,FFFFFF
902,1,"902","Markham Rd Express",,700,,00A651,FFFFFF
903,1,"903","Kennedy Stn-Scarborough Express",,700,,00A651,FFFFFF
904,1,"904","Sheppard-Kennedy Express",,700,,00A651,FFFFFF
905,1,"905","Eglinton East Express",,700,,00A651,FFFFFF
91,1,"91","Woodbine",,700,,ED1C24,FFFFFF
92,1,"92","Woodbine South",,700,,ED1C24,FFFFFF
924,1,"924","Victoria Park Express",,700,,00A651,FFFFFF
925,1,"925","Don Mills Express",,700,,00A651,FFFFFF
927,1,"927","Highway 27 Express",,700,,00A651,FFFFFF
929,1,"929","Dufferin Express",,700,,00A651,FFFFFF
93,1,"93","Parkview Hills",,700,,ED1C24,FFFFFF
935,1,"935","Jane Express",,700,,00A651,FFFFFF
937,1,"937","Islington Express",,700,,00A651,FFFFFF
938,1,"938","Highland Creek Express",,700,,00A651,FFFFFF
939,1,"939","Finch Express",,700,,00A651,FFFFFF
94,1,"94","Wellesley",,700,,ED1C24,FFFFFF
941,1,"941","Keele Express",,700,,00A651,FFFFFF
944,1,"944","Kipling South Express",,700,,00A651,FFFFFF
945,1,"945","Kipling Express",,700,,00A651,FFFFFF
95,1,"95","York Mills",,700,,ED1C24,FFFFFF
952,1,"952","Lawrence West Express",,700,,00A651,FFFFFF
953,1,"953","Steeles East Express",,700,,00A651,FFFFFF
954,1,"954","Lawrence East Express",,700,,00A651,FFFFFF
96,1,"96","Wilson",,700,,ED1C24,FFFFFF
960,1,"960","Steeles West Express",,700,,00A651,FFFFFF
968,1,"968","Warden Express",,700,,00A651,FFFFFF
97,1,"97","Yonge",,700,,ED1C24,FFFFFF
98,1,"98","Willowdale-Senlac",,700,,ED1C24,FFFFFF
984,1,"984","Sheppard West Express",,700,,00A651,FFFFFF
985,1,"985","Sheppard East Express",,700,,00A651,FFFFFF
986,1,"986","Scarborough Express",,700,,00A651,FFFFFF
989,1,"989","Weston Express",,700,,00A651,FFFFFF
99,1,"99","Arrow Rd",,700,,ED1C24,FFFFFF
995,1,"995","York Mills Express",,700,,00A651,FFFFFF
996,1,"996","Wilson Express",,700,,00A651,FFFFFF
1,1,"1","Line 1 (Yonge-University)",,400,,D5C82B,000000
2,1,"2","Line 2 (Bloor - Danforth)",,400,,008000,FFFFFF
4,1,"4","Line 4 (Sheppard)",,400,,B300B3,FFFFFF
400,1,"400","Lawrence Manor",,700,,6D6E71,FFFFFF
402,1,"402","Parkdale",,700,,6D6E71,FFFFFF
403,1,"403","South Don Mills",,700,,6D6E71,FFFFFF
404,1,"404","East York",,700,,6D6E71,FFFFFF
405,1,"405","Etobicoke",,700,,6D6E71,FFFFFF
406,1,"406","Scarborough-Guildwood",,700,,6D6E71,FFFFFF
